Time,y0_mean,y0_std,y1_mean,y1_std
0.0,0.9855959656135012,0.0940097497588969,0.0,0.0
0.5,2.401546830080562,0.30416781027787887,0.3447441597191105,0.07238651072041562
1.0,2.967306802792185,0.32889806512304326,0.745209345397197,0.08930298291227856
1.5,2.8416548204704917,0.23278100899191334,0.7904351354897728,0.19559643318044062
2.0,2.7012933584179333,0.27056502669480165,0.9458226020688681,0.13197695697167747
2.5,2.1111397872520503,0.1819894345658928,1.074643658877955,0.3220996306952897
3.0,2.3688478289895323,0.27386647707619427,0.752769984289309,0.16252813901048732
3.5,2.557032663120429,0.16911351874005778,0.7400143026276229,0.1921776113868437
4.0,2.9857953427189887,0.36728556121415146,0.7606925898461022,0.1059342081355778
4.5,2.871208062791108,0.22303192579709327,0.8490415198537677,0.11923983649172548
5.0,2.557477402076351,0.2418480891340037,0.9514323494950477,0.16051473436252298
5.5,2.3747434558514207,0.28671661949836286,0.922186238549639,0.16169466269550378
6.0,2.8386563300240337,0.20132157021582597,0.6716886030258885,0.11568451582828773
6.5,2.707118400753984,0.24076590834008463,0.7502083445089914,0.1642384398375883
7.0,2.8816081863491725,0.2262492882802121,0.8546009609684778,0.1970373488830235
7.5,2.70447691618201,0.1401715594463784,0.8715673534367383,0.20537674626224275
8.0,2.3772836301128595,0.30436147123273866,0.9124710722524926,0.12908323164004146
8.5,2.600287358000927,0.1762743236125054,0.8110320864213446,0.14562212049660797
9.0,2.8200320731680826,0.2004484373718917,0.7255477535323397,0.21742984133199295
9.5,2.804896441118416,0.380557120571293,0.8873979286316231,0.1945353796473857
